stplfips,baplus,total,baplus_se2,total_se2,baplus_share,baplus_share_se2
0600135,493,618,31828.974233423567,30016.35239881376,0.7977346278317152,0.033323781149758064
0600156,145,435,4207.647749004536,38315.980081484835,0.3333333333333333,0.04473499204211662
0600212,1378,5342,21150.95019447344,36901.35900444379,0.2579558217895919,6.551323842108081e-4
0600296,902,17425,23230.38405040604,148072.91137369387,0.05176470588235294,7.520193370311825e-5
0600310,36,140,439.0203342541181,1420.5338088155136,0.2571428571428571,0.017606691834537197
0600394,7781,14477,166509.5481379514,60017.55342245545,0.5374732334047109,7.117535880024971e-4
0600450,746,2676,10340.259236333737,37841.483356583914,0.2787742899850523,0.0018546513882379222
0600464,125,634,2729.464805387977,26740.69899575946,0.1971608832807571,0.00937649972788261
0600478,243,1747,5162.184384844929,78536.22934008371,0.13909559244419004,0.0021892696470670594
0600535,21,850,492.2349202243143,14051.976607754917,0.024705882352941175,6.694226518897947e-4
0600562,29309,57826,377152.09578625474,129950.38848495486,0.5068481305986926,1.0280630710545721e-4
0600618,7869,10910,122863.9794532571,108960.19068559972,0.7212648945921173,5.560063289719268e-4
0600674,9510,13234,114868.857456971,31078.79638953816,0.7186035967961312,5.642385783030911e-4
0600716,11,127,168.8824013081919,5774.152123502185,0.08661417322834646,0.01315643729767853
0600786,0,113,212.85834388078456,3997.0066795391763,0,0.016669930603867535
0600884,20965,62445,247895.34464759193,220814.2940290648,0.3357354471935303,5.7190027095712745e-5
0600898,223,454,2655.186112471245,4972.607422326105,0.4911894273127753,0.007061362395230066
0600947,18872,33919,289663.62099389324,67694.86608586393,0.5563843273681417,2.335576671616231e-4
0600982,105,130,5841.778993172643,9342.48574939256,0.8076923076923077,0.7063021966026073
0600996,342,1119,6807.032455354256,20062.26845649984,0.30563002680965146,0.003939606576895762
0601010,0,252,212.85834388078456,923.8643397603495,0,0.0033518887610352816
0601094,0,0,212.85834388078456,53.21458597019614,NaN,.
0601150,1283,4872,17704.566661431436,126035.79050452232,0.26334154351395733,0.0011141121379282114
0601164,12,532,166.2955811568629,3997.0066795391763,0.022556390977443608,5.803816674027205e-4
0601192,3114,10207,63250.339520144866,123886.88205023974,0.3050847457627119,4.964287078175057e-4
0601228,26,121,241.31336554540331,1243.1518555815262,0.21487603305785125,0.02040241868646143
0601276,117,386,860.6720189207417,3335.1502665348617,0.30310880829015546,0.007833020898396157
0601290,14693,32838,229365.58235788654,364390.20334254124,0.4474389426883489,1.450515726323192e-4
0601360,1661,5402,27776.905239234668,28765.80962851415,0.30747871158830065,8.586674931311806e-4
0601416,426,610,11179.128056836134,18212.69204829963,0.6983606557377049,0.053914529656276924
0601444,310,2076,5688.787058508329,6245.322936779963,0.14932562620423892,0.001287660415952732
0601458,1166,7596,15648.783732596705,113419.49908075499,0.1535018430753028,3.175305969614132e-4
0601514,36,100,355.1334522038784,651.8786781349027,0.36,0.027064997551759503
0601640,3942,12952,37772.00875823394,41968.93968089725,0.304354539839407,2.019879926257014e-4
0601651,270,1799,1325.9301004240538,10183.202298574475,0.15008337965536409,4.805668223766921e-4
0602000,56971,225489,692894.928908639,883257.1761162592,0.2526553401718044,1.2518612138447605e-5
0602028,150,347,3740.541938821703,9460.370839145979,0.4322766570605187,0.045746881370346604
0602042,611,6530,8708.345266581055,28150.51597823375,0.09356814701378255,1.984453318685966e-4
0602112,767,2815,11791.095795493387,24789.497510185607,0.2724689165186501,0.0012557367557670316
0602168,772,1790,5312.589499357914,22181.98279764599,0.4312849162011173,0.0029457839804968734
0602210,6769,29583,133761.14411359836,153263.92032593934,0.2288138457898117,1.4367403745637824e-4
0602252,14768,70089,344815.7352574348,427056.2910542215,0.2107035340781007,6.633247448159505e-5
0602294,308,2136,17778.475808612264,129512.47678790848,0.1441947565543071,0.004486867666290688
0602364,7617,45872,152464.96244491456,349140.89855045686,0.16604900592954308,6.78811962647461e-5
