stplfips,agecat,total,total_se2,age_ct,age_ct_se2,age_share,age_share_se2
0600135,under18,894,42971.147716669286,276,7243.09642372114,0.3087248322147651,0.01418694907415157
0600135,over65,894,42971.147716669286,112,2484.8255282194364,0.12527964205816555,0.003952846476722433
0600156,under18,520,56785.87596197374,15,427.1948707051857,0.028846153846153848,0.0017546095846680996
0600156,over65,520,56785.87596197374,103,9460.370839145979,0.19807692307692307,0.0432260889109282
0600212,under18,7278,92017.25778586674,1242,24598.442364723167,0.17065127782357792,4.1380073766191693e-4
0600212,over65,7278,92017.25778586674,1240,8094.52979924428,0.17037647705413575,2.0324269443791623e-4
0600296,under18,32867,269.39884147411794,11981,187865.59621585166,0.3645297715033316,1.7387789014231185e-4
0600296,over65,32867,269.39884147411794,2124,40732.8091942979,0.0646240910335595,3.770615403777466e-5
0600310,under18,206,3405.733502092553,39,651.8786781349027,0.18932038834951456,0.012484910562722492
0600310,over65,206,3405.733502092553,56,533.6240426455779,0.27184466019417475,0.018505658196641517
0600394,under18,20736,1038.0539721547286,4886,46572.00136731922,0.23562885802469136,1.0817755278486907e-4
0600394,over65,20736,1038.0539721547286,2844,29806.080875084306,0.1371527777777778,6.927400500731779e-5
0600450,under18,3598,90914.16376419287,663,12511.340434770558,0.18426903835464148,0.0012049138844193786
0600450,over65,3598,90914.16376419287,657,4802.616383810202,0.18260144524735963,6.05147006804788e-4
0600464,under18,830,49773.74562319269,158,7243.09642372114,0.19036144578313252,0.013132198486412693
0600464,over65,830,49773.74562319269,236,7769.69909738454,0.28433734939759037,0.01711974649170069
0600478,under18,2340,154695.1709610961,314,22545.615801775668,0.13418803418803418,0.0036087567140754774
0600478,over65,2340,154695.1709610961,1003,32378.11919697712,0.4286324786324786,0.011103735390988701
0600535,under18,1547,53362.40426455779,479,14341.700464703761,0.3096315449256626,0.008130357414171223
0600535,over65,1547,53362.40426455779,81,851.4333755231382,0.05235940530058177,4.1689914989049735e-4
0600562,under18,78246,887.2793119058397,15772,114239.89061446219,0.2015694092988779,1.8653331881247303e-5
0600562,over65,78246,887.2793119058397,11596,94991.36186842324,0.14819926897221583,1.551210441856071e-5
0600618,under18,15521,175431.12129414917,3728,47362.459696418184,0.2401907093615102,1.54592523495996e-4
0600618,over65,15521,175431.12129414917,3242,32159.717667057765,0.20887829392436055,1.652700879565563e-4
0600674,under18,19682,452.69352648257126,5090,30227.36301401502,0.2586119296819429,7.795187979276714e-5
0600674,over65,19682,452.69352648257126,2056,24408.12631073253,0.10446092876740169,6.299529060224254e-5
0600716,under18,253,6054.637337053427,0,53.21458597019614,0,8.31360995644302e-4
0600716,over65,253,6054.637337053427,16,94.60370839145979,0.06324110671936758,0.0018562835302072412
0600786,under18,113,3997.0066795391763,0,53.21458597019614,0,0.004167482650966884
0600786,over65,113,3997.0066795391763,0,53.21458597019614,0,0.004167482650966884
0600884,under18,85168,1286.3887066823108,14924,102633.56768692085,0.1752301333834304,1.4143905772159928e-5
