stplfips,medhhinc,medhhinc_se2
0600135,205078,2329221230.7720737
0600156,158048,847641632.6530612
0600212,90859,37555662.272151954
0600296,34446,4105242.560582404
0600310,47917,420088009.53427994
0600394,116652,9927287.811457766
0600450,105685,479223998.66963536
0600464,58125,415664099.1860755
0600478,66008,13210683.936770724
0600535,34219,51455548.26729243
0600562,89045,3110023.3737677955
0600618,207008,208411786.29170093
0600674,87694,9751857.059709353
0600716,36806,401338503.89408815
0600786,.,.
0600884,55401,2132132.5560554685
0600898,165625,936471614.2681609
0600947,106353,4191913.969752682
0600982,.,.
0600996,128828,254213462.18161324
0601010,31042,37996544.7473693
0601094,.,.
0601150,61667,50250430.42839589
0601164,30227,16837427.592132375
0601192,90540,83625187.86781348
0601228,.,.
0601276,71875,398202631.53518534
0601290,88774,9320122.319638584
0601360,76058,130765133.72936316
0601416,.,.
0601444,32411,20992551.436147116
0601458,79889,49511968.66252159
0601514,49063,683703280.2727249
0601640,91705,20604424.940641716
0601651,59637,16817478.03512532
0602000,65313,563640.3950443916
0602028,66630,52727903.47465377
0602042,35659,6678061.363069447
0602112,53100,90776296.96695338
0602168,69156,58130196.13639933
0602210,70840,4287039.476723238
0602252,69925,2137461.7751129423
0602294,42023,46862139.48503802
0602364,50907,1855888.6189151981
0602378,84559,162333932.98288077
0602382,100793,522004436.76610523
0602420,62891,40835596.123465225
0602462,90666,14639345.904047448
0602476,30866,2825260.298777727
0602553,48156,2602975.2127197646
0602700,48170,5409512.476787909
0602770,54398,28533132.177271083
0602812,78676,647014217.9026432
0602868,74654,32175445.903123584
0602896,62702,16862381.1679493
0602910,54107,335346264.72408783
0602924,36789,1256579.6694413393
0602980,50966,2103822.3963193246
0603026,.,.
0603064,72240,15922283.053556416
0603092,250001,.
0603162,50181,9043822.211546455
0603190,60033,72472359.27236445
0603204,57289,16097412.25598433
0603205,101105,71163839.58019604
0603209,31588,2442712.4657015363
0603274,62986,28273947.579937365
0603302,34638,13841113.810848014
0603316,6e4,366379160.94640666
0603330,100076,716839589.0651416
0603344,70034,16812492.493602242
0603386,57728,3069418.796943857
0603512,37955,83858832.05070168
0603526,60058,601685.4981014588
0603666,57209,2585351.2070287596
0603694,106750,417500408.90235686
0603708,50833,719413488.0498147
0603792,56250,101599046.94154711
0603820,39700,2209153.6478783456
0604030,36606,7660612.522057259
0604198,77361,1218540452.8782995
0604415,46435,8052484.363596049
0604470,83958,42301383.394462354
0604478,40034,36007295.20237249
0604576,42083,28358052.86351752
0604632,36797,44107362.274923556
0604716,250001,.
0604730,60926,372548664.9236426
0604734,77129,57492347.26212803
0604758,71664,6300252.584510491
0604772,93006,765220212.3040253
0604856,.,.
0604870,39686,1744968.7271920994
0604926,51949,13450389.039273473
0604938,200625,407647146.275441
0604982,52944,1907589.1760053956
0604996,39008,2534773.699429976
0605108,125958,7354152.677820788
0605164,213500,146505638.7136113
0605262,.,.
0605276,46875,83169964.80076864
0605290,95225,3793614.6192293125
0605332,77552,32931550.89106715
0605346,42639,221910375.92039984
0606000,75709,1982190.112803836
0606028,58145,54949099.13988229
0606070,36071,19795737.659482077
0606150,33929,17405888.341755893
0606210,36167,49966420.857161336
0606308,103698,11725940.817250395
0606336,49545,471167062.01901305
0606406,46404,4966530.6122448975
0606434,49519,6163674.023706359
0606475,17019,2724004.767139993
0606518,85313,126723265.30612244
0606560,53125,26087565.34030543
0606567,62917,89391564.74903226
0606616,51250,27631159.726905704
0606635,28750,7321218.761837011
0606728,36208,109771796.26943578
0606798,41489,10372706.830129065
0606928,177083,278920456.75852954
0606935,86176,625577641.0047948
0606982,127639,45016350.18153934
0606994,.,.
0607036,84028,674799317.8185716
0607064,50781,6615371.624430669
0607162,50500,12269156.419471364
0607172,31691,40177873.079517
0607218,39840,2717988.1930137384
0607246,40125,426516654.1329071
