stplfips,total,total_se2,race,race_ct,race_ct_se2,race_share,race_share_se2
0600135,894,42971.147716669286,white_nh,679,18874.918007039843,0.7595078299776287,0.05463081829250948
0600135,894,42971.147716669286,black_nh,0,53.21458597019614,0,6.658181809902974e-5
0600135,894,42971.147716669286,asian_nh,79,2365.0927097864947,0.0883668903803132,0.003379029254583742
0600135,894,42971.147716669286,hisp,0,53.21458597019614,0,6.658181809902974e-5
0600156,520,56785.87596197374,white_nh,520,56785.87596197374,1,0
0600156,520,56785.87596197374,black_nh,0,53.21458597019614,0,1.9679950432764846e-4
0600156,520,56785.87596197374,asian_nh,0,53.21458597019614,0,1.9679950432764846e-4
0600156,520,56785.87596197374,hisp,0,53.21458597019614,0,1.9679950432764846e-4
0600212,7278,92017.25778586674,white_nh,5698,97632.50524293011,0.782907392140698,7.783960341504316e-4
0600212,7278,92017.25778586674,black_nh,104,1117.8758511100227,0.014289640010992031,2.1458949788981927e-5
0600212,7278,92017.25778586674,asian_nh,71,1561.3307341949908,0.009755427315196482,2.931082856408602e-5
0600212,7278,92017.25778586674,hisp,1273,16296.966953372568,0.1749106897499313,2.5452135674002046e-4
0600296,32867,269.39884147411794,white_nh,4502,277783.464676047,0.13697629841482337,2.571451622331377e-4
0600296,32867,269.39884147411794,black_nh,6687,266996.7941907411,0.20345635439802842,2.4715407634276563e-4
0600296,32867,269.39884147411794,asian_nh,453,10554.595763158137,0.01378282167523656,9.77055804741046e-6
0600296,32867,269.39884147411794,hisp,20488,354911.7247623358,0.623360817841604,3.2845214420579435e-4
0600310,206,3405.733502092553,white_nh,158,2306.3349377777367,0.7669902912621359,0.10156093345338546
0600310,206,3405.733502092553,black_nh,0,53.21458597019614,0,0.001253996276043834
0600310,206,3405.733502092553,asian_nh,0,53.21458597019614,0,0.001253996276043834
0600310,206,3405.733502092553,hisp,0,53.21458597019614,0,0.001253996276043834
0600394,20736,1038.0539721547286,white_nh,15532,241860.66278027737,0.7490354938271605,5.611361146625726e-4
0600394,20736,1038.0539721547286,black_nh,548,33037.758335566,0.02642746913580247,7.683358071856987e-5
0600394,20736,1038.0539721547286,asian_nh,1816,27541.874151199638,0.08757716049382716,6.403508052436382e-5
0600394,20736,1038.0539721547286,hisp,2341,181595.14416903022,0.1128954475308642,4.2230149670032115e-4
0600450,3598,90914.16376419287,white_nh,2756,68329.00656867547,0.7659811006114509,0.009398619435486035
0600450,3598,90914.16376419287,black_nh,7,36.95457359041398,0.0019455252918287938,2.8811857633318673e-6
0600450,3598,90914.16376419287,asian_nh,55,2669.9679419074105,0.015286270150083379,2.046041284942085e-4
0600450,3598,90914.16376419287,hisp,637,11708.687096386766,0.17704280155642024,0.0011245759261813298
0600464,830,49773.74562319269,white_nh,578,36435.731377204575,0.6963855421686747,0.017851375974673712
0600464,830,49773.74562319269,black_nh,10,94.60370839145979,0.012048192771084338,1.4781363477480783e-4
0600464,830,49773.74562319269,asian_nh,0,53.21458597019614,0,7.724573373522448e-5
