stplfips,med_age,med_rent,agg_rent,med_homeval,agg_homeval
0600562,1961,1334,20257000,628600,.
0600674,1949,1535,5964500,626000,.
0601640,1998,1745,2015600,337900,1396116900
0602000,1972,1339,69803400,415900,20927428500
0602042,1977,809,1746000,158700,402517000
0602252,1982,1269,15470000,251900,5482232600
0602364,1986,962,7115200,191500,3389492300
0602462,1964,1413,11122600,776200,9924125700
0602476,1973,912,4262800,340500,792377600
0602868,1978,1178,2702600,489200,2295836100
0616742,1960,1210,7820500,386000,3436769000
0617568,1960,1536,11016000,607300,6069023800
0617610,1972,2001,14858900,1000001,14094900100
0617750,1971,1489,7266400,512100,5545386300
0617918,1966,1478,20467400,566400,9255884600
0617988,1978,2001,5719900,842000,.
0618100,1980,1229,17290900,538000,5661335600
0618506,1973,1856,2006200,1000001,.
0618996,1987,876,3819600,139700,654117900
0619318,1976,772,1912300,159500,.
0619402,1985,1171,2637200,292700,1183307300
0619766,1958,1203,20392000,430300,7745808800
0619990,1967,1220,2545000,375200,.
0620018,1994,1770,9810900,574200,.
0621712,1972,1078,21932100,333400,4659737000
0621782,1976,732,4885500,161900,1219654900
0621796,1954,1391,5596500,584700,.
0622020,1998,1444,17357800,275400,10312618200
0622230,1963,1064,18028200,352800,4033684000
0622300,1988,1085,5404100,369800,.
0622594,1984,1538,5645300,315900,715732100
0622678,1978,1671,13485500,703800,.
0622804,1978,1171,26118500,335200,8068809300
0623042,1955,802,5263300,269600,.
0623168,1956,1621,2243400,677700,1398004700
0623182,1983,1245,17053500,288200,6240346100
0624092,1976,1169,1886200,327900,.
0624134,1978,662,607000,126500,.
0624680,1987,1115,17894600,258100,8381434700
0625380,1972,1563,8398400,607600,7670110100
0628000,1969,1344,29041400,493200,12873760700
0628112,1992,1108,2478100,206500,1120381300
0629000,1964,1330,26044300,412000,10301949600
0629504,1984,1286,7503700,454800,4161168700
0630000,1961,1281,56478600,597000,17362158200
0630392,1985,1161,976400,228100,311850000
0630798,1976,925,3582600,292200,.
0631393,1979,1205,3647400,402800,.
0631708,1978,1591,2002700,727500,2302116000
0645358,1978,1212,1593100,574900,.
0645400,1962,1999,9140400,1000001,13721651200
0645484,1985,1178,10551700,225700,3280845400
0645778,1975,1107,4575900,375600,.
0646842,1995,1296,7259600,203800,4387376500
0646898,1981,800,11467300,150200,1766965100
0647486,1961,1655,5087500,904400,4482462200
0647710,1959,1809,3490800,1000001,.
0647766,1978,1699,10387200,538400,.
0648256,1979,1767,13212300,558000,14157243500
0648354,1977,997,31357200,186000,8193474700
0648648,1959,1308,8862800,540300,3660002700
0648788,1969,1101,4227500,266700,1438131700
0648872,1967,1347,12079300,659900,.
0648956,1964,2001,198700,1000001,2050089100
0649138,1986,1754,3835200,543300,.
0649270,1987,1280,24088600,194700,6714844400
0649670,1970,1542,29404200,773200,9954224600
0649852,1979,841,699700,316500,.
0650258,1973,1243,15916000,430300,7494053900
0650398,1967,938,9556100,281700,1666433900
0650916,1973,1522,6062000,450600,3946077500
0652526,1957,1260,11837800,326200,5765567800
0652582,1974,1544,10406200,588700,.
0653000,1949,1078,101704100,449800,32582649300
0653070,1991,1446,3527300,240000,2144634700
0653322,1982,1362,34136700,356500,12165973500
0653896,1976,1249,23387600,262800,6946768100
0654806,1965,1687,6835600,617600,6250767700
0654848,1955,1399,5574500,683800,.
0655184,1984,1112,10098800,325900,6132625100
0655254,1976,958,9736800,285700,4327065500
0655282,1959,1865,21188600,1000001,.
0655618,1967,1155,8953500,269700,1529096700
0656000,1957,1337,42522900,620600,17887907100
0656924,1956,1211,5730500,344900,4026209400
0657288,1971,1372,2223700,354200,.
0657456,1979,1301,9849600,237200,2775999000
0657526,1975,1452,7708200,515400,5083567600
0657792,1982,1637,12718700,723300,.
0657834,1979,1048,196000,183900,.
0633000,1970,1262,26705500,336300,8429959700
0633056,1975,1270,2326300,485600,1465811000
0633434,1986,1040,9157800,158800,3125867700
0633798,1961,2001,441300,1000001,.
0636000,1972,1549,47533700,638100,30025272200
0636280,2000,870,1233000,180900,.
0636294,1970,1136,7226500,358600,1206895400
0636434,1985,855,573100,649600,.
0636546,1960,1065,25778900,342700,4581008900
0636770,1990,1832,69714300,646500,27436933600
0636882,1970,729,105000,201700,.
0636980,1976,854,876300,248900,228430900
0638226,1992,801,1264600,172200,413077000
0638562,1983,943,1358500,225800,523717100
0639003,1956,2001,1316000,1000001,7811592800
0639178,1963,1882,8133600,1000001,11170653100
0639220,1979,1753,4812400,568500,.
0639248,1985,1776,11835600,679500,13799650800
0639290,1967,1281,10851100,392600,4016763600
0639486,1995,1241,6102700,216200,2377001800
0639710,1970,876,832800,251400,255725000
0639892,1957,1501,10612800,430100,8200483300
0640004,1967,1196,15375300,378500,4406114900
0640130,1985,1076,20131600,174900,5962466500
0640256,1971,1462,1800100,575100,2022203700
0640354,1998,1476,5259200,366800,.
0640704,1995,1531,1376900,199400,699778400
0641712,1973,729,1031900,121300,.
0641992,1977,1389,12099100,490800,10915671000
0642006,1990,975,1180400,168900,301108200
0642370,1983,1099,5952300,291500,.
0642468,1962,1191,5226600,481700,.
0643000,1956,1093,110350900,441600,31840916700
0643280,1960,2001,3631700,1000001,14736932500
0643294,1970,2001,701200,1000001,6456677500
0644000,1960,1156,1013772500,470000,314303341700
0644028,1992,1026,4029900,156100,1051551500
0644112,1968,1752,7693400,1000001,.
0603064,1981,1084,4332900,394400,2956134200
0603092,1958,2001,467900,1000001,.
0603274,1970,1219,1076200,735800,313674000
0603302,1982,666,1211300,156600,225622700
0603526,1985,970,47512300,191600,13512968100
0603666,1965,1189,8089100,291900,3050963700
0604758,2002,997,3220400,226000,2059136300
0604870,1954,997,6691800,290600,730290700
0604982,1963,1173,17021500,355000,3233636800
0605108,1963,1494,6572400,887400,.
0605290,1979,1353,4476300,439000,3240004700
0606000,1939,1253,33736900,707700,14544386500
0606308,1950,1862,16240400,1000001,15322037300
0606798,1966,856,1022500,320300,.
0607218,1977,756,1862700,152700,.
0607946,1971,638,.,1000001,354723200
0608142,2001,1833,6840200,360800,.
0608310,1969,1378,1055200,631500,.
0608786,1962,1373,13118600,405300,5473888200
0609066,1956,1449,10048000,1000001,.
0609892,1975,1203,970200,350800,501954000
0610046,1978,1602,11198500,473300,.
0611040,1972,1531,3914900,472500,.
0611194,1986,1598,24125900,617200,.
0611530,1965,1273,7613000,357200,6512804700
0613014,1979,918,18188600,276900,4133817700
0613210,1981,1287,8160500,344300,5061488600
0613392,1982,1242,40120200,366200,16779445200
0613588,1976,1030,15250200,204100,3836735000
0614190,1985,1190,1334700,355400,757249400
0614260,2000,873,2689900,150900,1009138700
0614736,1981,1686,445500,561800,183915000
0614890,1980,997,7076400,168700,1433474600
0616000,1970,1243,22663900,373900,10432077100
0616350,1989,1324,19563500,341600,10387874700
0616532,1970,1492,36309600,592400,9936564500
0677364,1973,836,1857400,172600,.
0678148,1957,1347,5681200,567300,4007285600
0680000,1963,1408,34766000,622100,19416819700
0680588,1987,1390,2589400,471700,.
0680812,1983,949,10382700,214600,2992879800
0680854,1977,1489,18550000,509700,6791343600
0680994,1980,931,4612400,156600,471288100
0681204,1978,1373,8873100,493300,6646670900
0681666,1971,1175,19744300,241900,6896733800
0682590,1993,1110,13485100,148800,3102468900
0682954,1982,948,15652700,190500,5538374400
0682996,1980,1210,18538300,349200,5373955800
0683346,1972,1407,14804500,587200,.
0683668,1974,1139,8756100,333500,2153179700
0683850,1972,817,532200,166000,.
0684200,1965,1379,14896800,389100,8133671900
0684410,1959,1318,23707800,626300,3521264800
0684438,1976,2001,1385100,778300,.
0684550,1969,1313,15693500,462100,6421721700
0684816,1981,878,6732600,253300,2726828200
0685292,1956,1158,14302000,435800,7431898200
0686328,1977,955,9065400,271900,3111692600
0686832,1983,1813,6345500,696500,13370690000
0686944,1972,740,1297400,189700,443029100
0686972,1982,871,8279100,198900,2680042800
0687042,1976,1042,4853100,240500,3257518700
0658296,1972,1387,5388300,313900,1014241600
0659444,1976,969,10607600,204000,2908211400
0659451,1987,1441,27154200,374100,14185646000
0659514,1967,2001,5968700,973900,12805120200
0659587,1992,1690,8223700,530800,.
0659892,1976,739,2318500,171100,.
0660018,1971,1665,23180400,720500,.
0660102,1963,1440,20400600,770500,.
0660242,1981,868,2180500,180000,.
0660620,1962,1172,20519700,303200,5858704300
0660704,1980,805,3829600,184200,.
0661068,1993,1053,1948000,188900,953956200
0662000,1974,1126,44843700,251700,14622670000
0662546,1980,1228,9441700,322000,2552650200
0662644,1967,2001,766300,1000001,.
0662896,1957,1176,8573600,444900,3012578700
0662938,1994,1236,20264100,326700,9930216300
0662980,1939,2001,251400,1000001,.
0664000,1972,990,91598900,244100,23361436800
0664140,1974,1507,1936200,904000,.
0664224,1975,1086,25660200,279000,5337676200
0664434,1951,1487,2678600,816900,3014021800
0665000,1970,929,27712900,166100,5580822900
0665028,1960,1567,10168600,607200,.
0666000,1975,1312,334463400,451800,122751713800
0667000,1941,1447,319970300,750900,112980723000
0667042,1957,1252,7508000,552900,3497091100
0667056,1981,865,2660300,162300,665870400
0667112,1991,1060,4413200,147800,1421689900
0668000,1974,1435,183795400,575100,104133194700
0668028,1978,1709,4909600,560400,.
0668084,1958,1214,15847900,386800,6673239800
0668154,1974,1225,15545500,542900,3544219800
0668294,1964,1025,4920200,206100,947892000
0668364,1965,1435,16109800,719600,9124828800
0668378,1990,1692,12981200,704000,12333926200
0669000,1967,1283,50034800,343200,12287137500
0669070,1962,1469,31263300,880500,13940005000
0669084,1969,1531,34839600,618600,11869715700
0669088,1983,1512,26053600,390100,16746414100
0669112,1964,1463,17530800,666300,.
0669154,1959,1191,2442800,354200,.
0669196,1981,1117,14908500,267200,3901971600
0670042,1967,1123,4215300,323200,1503590600
0670098,1978,1209,35241200,377000,14054652100
0670742,1966,1431,8408700,407500,1823161200
0670770,1973,1195,1991400,490300,.
0671225,1977,1030,1171100,182400,.
0671806,1956,1474,2816900,748600,2141745800
0672016,1978,1681,17344800,448500,14428427300
0672506,1975,1827,3995700,976200,.
0672520,1992,998,1776500,213300,.
0672996,1956,1098,2209200,343000,776989700
0673080,1951,975,13349900,304400,3374938000
0673262,1963,1453,12747200,603700,7686145900
0673962,1972,1272,7471600,282700,1575712400
0675000,1978,946,43209400,178900,10159977200
