tract,agg_rent
06001400100,477600
06001400200,688900
06001400300,1919800
06001400400,1941400
06001400500,1748400
06001400600,519000
06001400700,1529000
06001400800,1579200
06001400900,1140600
06001401000,2358300
06001401100,2209600
06001401200,1220100
06001401300,1675400
06001401400,1387500
06001401500,822100
06001401600,809500
06001401700,828000
06001401800,613900
06001402200,690900
06001402400,928200
06001402500,438400
06001402600,509300
06001402700,714400
06001402800,2979800
06001402900,791700
06001403000,980600
06001403100,638000
06001403300,2715900
06001403400,3437000
06001403501,2603300
06001403502,1345000
06001403600,3200700
06001403701,1977300
06001403702,1269600
06001403800,2082300
06001403900,2233100
06001404000,1805300
06001404101,1823100
06001404102,1957100
06001404200,690800
06001404300,492300
06001404400,692100
06001404501,139700
06001404502,641300
06001404600,301800
06001404700,260100
06001404800,782700
06001404900,1024000
06001405000,754700
06001405100,247700
06001405200,2527600
06001405301,2045900
06001405302,1608400
06001405401,1713900
06001405402,1215700
06001405500,1574200
06001405600,1231500
06001405700,1288500
06001405800,1061200
06001405901,711000
06001405902,791800
06001406000,1321600
06001406100,1513600
06001406201,1171400
06001406202,1360500
06001406300,871500
06001406400,642200
06001406500,1738200
06001406601,1386500
06001406602,788100
06001406700,1005200
06001406800,833300
06001406900,1030000
06001407000,1390700
06001407101,694000
06001407102,777500
06001407200,1682900
06001407300,828500
06001407400,890900
06001407500,1090100
06001407600,1244300
06001407700,743000
06001407800,257100
06001407900,474900
06001408000,288000
06001408100,807600
06001408200,1358600
06001408300,737100
06001408400,930900
06001408500,1462000
06001408600,1486200
06001408700,2280500
06001408800,1402800
06001408900,681000
06001409000,743000
06001409100,325600
06001409200,722100
06001409300,1127900
06001409400,1079800
06001409500,1022900
06001409600,1049900
06001409700,1456100
06001409800,731500
06001409900,259400
06001410000,166600
06001410100,470900
06001410200,763800
06001410300,746800
06001410400,694400
06001410500,644300
06001420100,559500
06001420200,1156800
06001420300,1735900
06001420400,1907500
06001420500,839300
06001420600,426400
06001421100,172500
06001421200,277200
06001421300,603800
06001421400,197500
06001421500,605700
06001421600,831600
06001421700,1456000
06001421800,556100
06001421900,1088700
06001422000,1136900
06001422100,816100
06001422200,1381200
06001422300,2028500
06001422400,2848500
06001422500,2001500
06001422600,.
06001422700,1425000
06001422800,1887300
06001422900,2861300
06001423000,2172500
06001423100,1801100
06001423200,1164800
06001423300,1066400
06001423400,1704000
06001423500,1279400
06001423601,1194200
06001423602,3019000
06001423700,1053200
06001423800,524200
06001423901,771400
06001423902,834800
06001424001,1581900
06001424002,750500
06001425101,1003700
06001425102,3193400
06001425103,1940900
06001425104,2075200
06001426100,429400
06001426200,736500
06001427100,674200
06001427200,1415800
06001427300,1523600
06001427600,2768200
06001427700,2404100
06001427800,1968100
06001427900,2314900
06001428000,1623700
06001428100,1352600
06001428200,1826600
06001428301,986100
06001428302,1219900
06001428400,2078700
06001428500,1577800
06001428600,1563000
06001428700,979300
06001430101,521500
06001430102,235900
06001430200,264100
06001430300,390700
06001430400,82600
06001430500,1089200
06001430600,841600
06001430700,581400
06001430800,1200700
06001430900,2147400
06001431000,1118600
06001431100,1466600
06001431200,2066500
06001432100,654800
06001432200,1610100
06001432300,778600
06001432400,1561600
06001432501,1077100
06001432502,1052400
06001432600,2737500
06001432700,505500
06001432800,390200
06001433000,597600
06001433102,799800
06001433103,1578400
06001433104,1854300
06001433200,2029400
06001433300,848700
06001433400,814400
06001433500,389100
06001433600,1331300
06001433700,996100
06001433800,1910700
06001433900,2796000
