stplfips,NAME,variable,estimate,year,city
06003999,.,.,.,.,Alpine County Unincorporated
0600562,"Alameda city, California",B25064_001,1607,13-17,Alameda
0600562,"Alameda city, California",B25064_001,1334,08-12,Alameda
0600562,Alameda city,H063001,899,00,Alameda
0600674,"Albany city, California",B25064_001,1739,13-17,Albany
0600674,"Albany city, California",B25064_001,1535,08-12,Albany
0600674,Albany city,H063001,947,00,Albany
06009999,.,.,.,.,Calaveras County Unincorporated
06013999,.,.,.,.,Contra Costa County Unincorporated
0601640,"American Canyon city, California",B25064_001,1762,13-17,American Canyon
0601640,"American Canyon city, California",B25064_001,1745,08-12,American Canyon
0601640,American Canyon city,H063001,924,00,American Canyon
0602000,"Anaheim city, California",B25064_001,1469,13-17,Anaheim
0602000,"Anaheim city, California",B25064_001,1339,08-12,Anaheim
0602000,Anaheim city,H063001,818,00,Anaheim
0602042,"Anderson city, California",B25064_001,804,13-17,Anderson
0602042,"Anderson city, California",B25064_001,809,08-12,Anderson
0602042,Anderson city,H063001,478,00,Anderson
06021999,.,.,.,.,Glenn County Unincorporated
0602252,"Antioch city, California",B25064_001,1562,13-17,Antioch
0602252,"Antioch city, California",B25064_001,1269,08-12,Antioch
0602252,Antioch city,H063001,786,00,Antioch
0602364,"Apple Valley town, California",B25064_001,1006,13-17,Apple Valley
0602364,"Apple Valley town, California",B25064_001,962,08-12,Apple Valley
0602364,Apple Valley town,H063001,573,00,Apple Valley
0602462,"Arcadia city, California",B25064_001,1481,13-17,Arcadia
0602462,"Arcadia city, California",B25064_001,1413,08-12,Arcadia
0602462,Arcadia city,H063001,830,00,Arcadia
0602476,"Arcata city, California",B25064_001,939,13-17,Arcata
0602476,"Arcata city, California",B25064_001,912,08-12,Arcata
0602476,Arcata city,H063001,546,00,Arcata
0602868,"Arroyo Grande city, California",B25064_001,1169,13-17,Arroyo Grande
0602868,"Arroyo Grande city, California",B25064_001,1178,08-12,Arroyo Grande
0602868,Arroyo Grande city,H063001,725,00,Arroyo Grande
0603064,"Atascadero city, California",B25064_001,1289,13-17,Atascadero
0603064,"Atascadero city, California",B25064_001,1084,08-12,Atascadero
0603064,Atascadero city,H063001,701,00,Atascadero
0603092,"Atherton town, California",B25064_001,3501,13-17,Atherton
0603092,"Atherton town, California",B25064_001,2001,08-12,Atherton
0603092,Atherton town,H063001,2001,00,Atherton
0603274,"Avalon city, California",B25064_001,1426,13-17,Avalon
0603274,"Avalon city, California",B25064_001,1219,08-12,Avalon
0603274,Avalon city,H063001,814,00,Avalon
0603302,"Avenal city, California",B25064_001,744,13-17,Avenal
0603302,"Avenal city, California",B25064_001,666,08-12,Avenal
0603302,Avenal city,H063001,488,00,Avenal
0603526,"Bakersfield city, California",B25064_001,1035,13-17,Bakersfield
0603526,"Bakersfield city, California",B25064_001,970,08-12,Bakersfield
0603526,Bakersfield city,H063001,564,00,Bakersfield
0603666,"Baldwin Park city, California",B25064_001,1357,13-17,Baldwin Park
0603666,"Baldwin Park city, California",B25064_001,1189,08-12,Baldwin Park
0603666,Baldwin Park city,H063001,724,00,Baldwin Park
