stplfips,med_age,med_rent,agg_rent,med_homeval,agg_homeval
0647766,1982,2099,15701400,704300,10474978600
0649278,1986,1699,6886300,729900,7848811000
0627080,1951,1055,150600,710900,182387000
0643280,1961,2891,4733400,2000001,20076197600
0645120,1982,1087,1153400,157000,.
0655520,1974,1038,3472600,205500,1724927600
0685600,1973,954,992200,207500,176092200
0601164,1973,766,100700,77500,.
0616224,1980,794,1563400,122700,.
0675252,1987,821,79600,121600,.
0639220,1980,1906,5636000,649700,.
0623616,1983,741,765500,133900,269951000
0675280,1968,726,490000,102100,.
0682954,1984,958,17103600,207400,5917076900
0639259,1968,1656,4010000,246600,2457331800
0639290,1967,1410,11588200,473200,5064858200
0670686,1966,1758,5238800,338100,.
0682744,1974,3501,256800,1077600,.
0646632,1974,-666666666,61600,417800,563513100
0633000,1971,1562,35696000,462000,12158313200
0641992,1977,1768,15344900,643200,.
0641124,1963,1201,4713400,367700,.
0623973,1980,1184,911800,506500,.
0633056,1974,1494,2953200,647600,2122611200
0656784,1979,1667,11839600,556900,.
0647794,1961,875,61500,187500,6287000
0659892,1973,797,2433200,158000,.
0640928,1983,436,80800,197900,.
0634120,1986,1338,5402100,415900,2622215800
0602896,1964,1471,3261100,437200,.
0603386,1971,1316,7464000,367500,2473030100
0603666,1964,1357,10162300,357500,3616230500
0612552,1973,2215,6773600,638600,7783125000
0614974,1956,1014,2107700,357200,.
0633518,1970,-666666666,.,2000001,1544205300
0636490,1957,856,64400,444400,.
0636546,1958,1186,27998600,389600,.
0641180,1955,1075,4108400,371100,.
0610914,1974,-666666666,-666666666,-666666666,.
0617050,1975,703,21300,216000,.
0640312,1981,-666666666,-666666666,-666666666,-666666666
0641789,1972,-666666666,-666666666,-666666666,-666666666
0648448,1983,-666666666,.,-666666666,.
0613182,1978,-666666666,-666666666,331600,.
0672674,1963,901,1121400,273300,245751200
0680966,1974,963,384900,302800,254211000
0660088,1973,1258,257100,321400,.
0660900,1960,801,483800,191600,201569000
0649488,1965,-666666666,-666666666,-666666666,.
0603344,1964,1309,1023000,435800,1328019500
0604982,1962,1263,17884700,398000,.
0609598,1984,2289,6556800,976300,7042612300
0681736,1988,1567,875000,492600,1151207400
0623150,1993,-666666666,.,2000001,.
0636294,1970,1269,7882600,433400,.
0658520,1978,1487,6342900,620500,8104621400
0616035,1980,917,53200,202600,.
0630994,1989,1242,2364500,260200,505483500
0654848,1957,1606,5924700,764600,2662197300
0664476,1959,825,105900,-666666666,.
0670742,1965,1599,9929200,413600,.
0605164,1956,2447,464100,2000001,2382506000
