tract,agg_rent,agg_homeval
06001400100,477600,1391907900
06001400200,688900,533906400
06001400300,1919800,1028075000
06001400400,1941400,571498300
06001400500,1748400,.
06001400600,519000,207234000
06001400700,1529000,.
06001400800,1579200,467823200
06001400900,1140600,193999900
06001401000,2358300,396210700
06001401100,2209600,298750000
06001401200,1220100,312038600
06001401300,1675400,181794000
06001401400,1387500,91159000
06001401500,822100,166087000
06001401600,809500,80163400
06001401700,828000,.
06001401800,613900,71313000
06001402200,690900,.
06001402400,928200,104326500
06001402500,438400,.
06001402600,509300,.
06001402700,714400,.
06001402800,2979800,.
06001402900,791700,.
06001403000,980600,164439400
06001403100,638000,100456000
06001403300,2715900,208175000
06001403400,3437000,.
06001403501,2603300,167736000
06001403502,1345000,.
06001403600,3200700,168594800
06001403701,1977300,.
06001403702,1269600,169447800
06001403800,2082300,510457800
06001403900,2233100,.
06001404000,1805300,.
06001404101,1823100,.
06001404102,1957100,.
06001404200,690800,.
06001404300,492300,1465015000
06001404400,692100,1924415400
06001404501,139700,775696700
06001404502,641300,.
06001404600,301800,1489092600
06001404700,260100,735181000
06001404800,782700,.
06001404900,1024000,777404400
06001405000,754700,782642500
06001405100,247700,1852251200
06001405200,2527600,.
06001405301,2045900,.
06001405302,1608400,.
06001405401,1713900,.
06001405402,1215700,.
06001405500,1574200,.
06001405600,1231500,206722000
06001405700,1288500,.
06001405800,1061200,173032500
06001405901,711000,.
06001405902,791800,97579000
06001406000,1321600,.
06001406100,1513600,.
06001406201,1171400,.
06001406202,1360500,.
06001406300,871500,161906000
06001406400,642200,.
06001406500,1738200,189429600
06001406601,1386500,248570000
06001406602,788100,127571000
06001406700,1005200,976741500
06001406800,833300,624167200
06001406900,1030000,526496000
06001407000,1390700,.
06001407101,694000,129035000
06001407102,777500,305637000
06001407200,1682900,.
06001407300,828500,.
06001407400,890900,.
06001407500,1090100,97955000
06001407600,1244300,.
06001407700,743000,594668300
06001407800,257100,255921000
06001407900,474900,523914800
06001408000,288000,.
06001408100,807600,1628741300
06001408200,1358600,.
06001408300,737100,.
06001408400,930900,123555000
06001408500,1462000,.
06001408600,1486200,.
06001408700,2280500,240420200
06001408800,1402800,.
06001408900,681000,.
06001409000,743000,124389400
06001409100,325600,.
06001409200,722100,.
06001409300,1127900,254540000
06001409400,1079800,.
06001409500,1022900,.
06001409600,1049900,.
06001409700,1456100,.
06001409800,731500,320762000
06001409900,259400,1200855900
06001410000,166600,735080000
06001410100,470900,.
06001410200,763800,173819200
06001410300,746800,97670500
06001410400,694400,346076400
06001410500,644300,.
06001420100,559500,777422600
06001420200,1156800,386019400
06001420300,1735900,913838400
06001420400,1907500,.
06001420500,839300,.
06001420600,426400,1008389800
06001421100,172500,866153800
06001421200,277200,.
06001421300,603800,1439275500
06001421400,197500,635223700
06001421500,605700,1360715400
06001421600,831600,1280305700
06001421700,1456000,621540000
06001421800,556100,555508700
06001421900,1088700,.
06001422000,1136900,144789500
06001422100,816100,385022000
06001422200,1381200,572360000
06001422300,2028500,451995500
06001422400,2848500,246000400
06001422500,2001500,.
06001422600,.,.
06001422700,1425000,.
06001422800,1887300,.
06001422900,2861300,.
06001423000,2172500,574117500
06001423100,1801100,498169000
06001423200,1164800,366359000
06001423300,1066400,579106200
06001423400,1704000,.
06001423500,1279400,.
06001423601,1194200,.
06001423602,3019000,135780000
06001423700,1053200,.
06001423800,524200,1510085900
06001423901,771400,.
06001423902,834800,224033500
06001424001,1581900,.
06001424002,750500,291860000
06001425101,1003700,178306000
06001425102,3193400,.
06001425103,1940900,.
06001425104,2075200,.
06001426100,429400,.
06001426200,736500,2121755000
06001427100,674200,.
06001427200,1415800,.
06001427300,1523600,679424000
06001427600,2768200,.
06001427700,2404100,479718500
06001427800,1968100,672963600
06001427900,2314900,.
06001428000,1623700,.
06001428100,1352600,982624300
06001428200,1826600,1346040400
06001428301,986100,1509951100
06001428302,1219900,.
06001428400,2078700,291500000
06001428500,1577800,376206000
06001428600,1563000,511708500
06001428700,979300,.
06001430101,521500,.
06001430102,235900,.
06001430200,264100,.
06001430300,390700,821239100
06001430400,82600,.
06001430500,1089200,623055500
06001430600,841600,1125578000
06001430700,581400,616651800
06001430800,1200700,701464500
06001430900,2147400,189446000
06001431000,1118600,.
06001431100,1466600,.
06001431200,2066500,632750900
06001432100,654800,676548000
06001432200,1610100,630859400
06001432300,778600,504738000
06001432400,1561600,334665900
06001432501,1077100,302094300
06001432502,1052400,.
06001432600,2737500,371836800
06001432700,505500,419314400
06001432800,390200,795121200
06001433000,597600,524871000
06001433102,799800,364263600
06001433103,1578400,127945000
06001433104,1854300,158167200
06001433200,2029400,.
06001433300,848700,.
06001433400,814400,946241200
06001433500,389100,524906900
06001433600,1331300,.
06001433700,996100,172046000
06001433800,1910700,.
06001433900,2796000,118991300
06001434000,1515100,221311000
06001435102,672600,802224600
06001435103,478400,1935350800
06001435104,2626600,.
06001435200,348700,648614400
06001435300,1332500,316281200
06001435400,1736000,214568400
06001435500,1501800,211244000
06001435601,1760600,169249200
06001435602,1481900,190550600
06001435700,554800,477842300
06001435800,837800,498929000
06001435900,662900,608757900
06001436000,566600,491171700
06001436100,907200,478366000
06001436200,1321800,.
06001436300,2763900,476679000
06001436401,2315600,903217100
06001436402,246300,594668500
06001436500,1942000,.
06001436601,1621300,451150100
06001436602,1775400,129242900
06001436700,882700,.
06001436800,1300800,282373000
06001436900,1543100,402493600
06001437000,328000,454406600
06001437101,634000,1044222600
06001437102,1064000,.
06001437200,1378800,656636400
06001437300,595000,217388800
06001437400,392000,.
06001437500,1399500,110376300
06001437600,545100,.
06001437701,1149700,71817000
06001437702,1510600,23102000
06001437800,755600,549806400
06001437900,553400,127158300
06001438000,728900,.
06001438100,1166400,803312700
06001438201,311200,282203400
06001438203,424700,.
06001438204,732800,418321000
06001438300,565500,.
06001438400,121400,249132400
06001440100,1164900,238371000
06001440200,1355400,324572000
06001440301,978500,748857200
06001440304,632000,.
06001440305,293500,556427100
06001440306,773000,322682900
06001440307,644300,.
06001440308,1594400,648020000
06001440331,839600,.
06001440332,289300,710497700
06001440333,324100,484173000
06001440334,427300,.
06001440335,1746500,924640000
06001440336,1331000,.
06001441100,636200,.
06001441200,1871100,1258023200
06001441301,1298900,.
06001441302,1255000,946180000
06001441401,1673200,1241832300
06001441402,1083100,987453400
06001441501,411000,1146817900
06001441503,1266300,1146065300
06001441521,921400,1144592500
06001441522,704400,786466200
06001441523,1559800,426511000
06001441524,1205700,654689600
06001441601,506100,809363000
06001441602,2140400,.
06001441700,1739700,.
06001441800,2069800,908079000
06001441921,1756700,.
06001441923,4244400,.
06001441924,2332300,1082101000
06001441925,5209300,280322300
06001441926,1895800,173979800
06001441927,2732800,.
06001442000,198700,1389743000
06001442100,361100,1534742700
06001442200,444700,.
06001442301,1268300,606941000
06001442302,2218900,413964600
06001442400,1265900,838631500
06001442500,1698300,.
06001442601,793800,.
06001442602,1102900,823685700
06001442700,649700,522335500
06001442800,422900,.
06001442900,1290600,1271251700
06001443001,593000,338040300
06001443002,1274100,.
06001443102,538400,1647620000
06001443103,242200,.
06001443104,1224100,1271021100
06001443105,300500,1600322000
06001443200,119800,2037066600
06001443301,398000,.
06001443321,1204500,293625000
06001443322,215900,.
06001444100,597500,1430806800
06001444200,704700,985760700
06001444301,721300,604359500
06001444302,953300,392323000
06001444400,1179800,.
06001444500,2269300,590131000
06001444601,531300,818328500
06001444602,930500,.
06001450101,2852400,459522000
06001450102,1252000,720596500
06001450200,3498000,662185000
06001450300,1316300,.
06001450400,909300,977403000
06001450501,767500,608006800
06001450502,553600,1441732700
06001450601,372700,1474116000
06001450602,1819100,.
06001450603,728100,1039811500
06001450604,1073900,1531354000
06001450605,768000,.
06001450606,685200,1805090500
06001450607,2811200,.
06001450701,926200,.
06001450741,1518600,.
06001450742,668600,1099713300
06001450743,3312300,495017400
06001450744,1385700,.
06001450745,1256600,1335333400
06001450746,611500,748378100
06001450750,2438000,504058000
06001450751,875700,2329155100
06001450752,664100,.
06001451101,849000,1692251600
06001451102,.,.
06001451201,1287000,1020931500
06001451202,219900,892344500
06001451300,814000,1148446700
06001451401,1538000,949825500
06001451403,374100,331223400
06001451404,1865500,.
06001451501,656000,953875000
06001451503,853000,834291000
06001451504,434100,397354000
06001451505,384100,966775300
06001451506,1008900,281879800
06001451601,786000,1257797600
06001451602,2323100,1025057800
06001451701,419900,513193600
06001451703,592800,854401200
06001451704,1006400,886056800
06001981900,44800,.
06001982000,.,.
06001983200,40600,.
06001990000,.,.
06003010000,62200,.
06005000101,133600,.
06005000102,189500,.
06005000200,381600,490977000
06005000301,54600,.
06005000303,587900,469098600
06005000304,421600,306258700
06005000401,756600,444723400
06005000402,438400,451074000
06005000500,360900,281446000
06007000102,524700,297731700
06007000103,550000,351715000
06007000104,1474400,280194300
06007000201,972400,220163100
06007000202,795600,128737500
06007000300,1284100,83003400
06007000401,927200,316583000
06007000402,1170500,691730500
06007000501,652200,347901500
06007000502,1418300,.
06007000601,622700,.
06007000603,841100,.
06007000604,1411700,29984000
06007000700,1120500,.
06007000800,1092200,473764500
06007000901,280400,.
06007000903,1920600,.
06007000904,1161400,588020000
06007001000,1138300,.
06007001100,1181400,117715000
06007001200,1020800,72653900
06007001300,739500,.
06007001400,548900,.
06007001500,693500,.
06007001600,213000,718842000
06007001702,554000,335345200
06007001703,348100,.
06007001704,219800,.
06007001800,619100,367626000
06007001900,159500,.
06007002000,1095400,307340000
06007002100,724400,333727900
06007002200,636300,.
06007002300,404000,413118100
06007002400,292400,.
06007002500,584100,133223000
06007002601,98800,.
06007002602,431900,.
06007002700,549200,.
06007002800,835400,.
06007002900,345100,103162900
06007003001,366800,46852500
06007003002,509900,.
06007003100,442100,273502000
06007003200,343000,.
06007003300,173500,.
06007003400,322500,.
06007003501,391400,155935000
06007003502,540700,.
06007003600,321200,.
06007003700,633100,193406600
06009000120,299100,.
06009000121,775900,.
06009000122,399200,408016500
06009000210,839200,.
06009000220,535100,402834900
06009000300,674000,.
06009000400,258000,.
06009000501,381100,313411500
06009000503,146900,182888500
06009000504,25700,51649000
06011000100,450000,412476000
06011000200,514200,298458000
06011000300,584800,365996900
06011000400,253600,141607100
06011000500,381300,.
06013301000,316600,402637300
06013302005,1241700,.
06013302006,195100,327850700
06013302007,815600,.
06013302008,894000,624833500
06013302009,1840000,487143600
06013302010,682800,.
06013303102,1170700,1002604000
06013303103,2289800,.
06013303201,1696800,963142700
06013303202,692000,813517900
06013303203,1612700,1183932700
06013303204,754100,424487100
06013303205,1134000,.
06013304001,628100,.
06013304002,226500,.
06013304003,588500,728856500
06013304004,720500,783788600
06013304005,1056300,844956800
06013305000,1874000,149962100
06013306002,363700,.
06013306003,949100,197626800
06013306004,823500,219963600
06013307101,666100,.
06013307102,1144900,.
06013307201,574100,.
06013307202,1467900,.
06013307204,439500,315413700
06013307205,2147700,242122800
06013308001,1316400,.
06013308002,603500,394679000
06013309000,877000,.
06013310000,1284000,192086000
06013311000,895700,.
06013312000,376100,.
06013313101,1728000,294058700
06013313102,1100800,233494900
06013313103,1592400,640598700
06013313203,431200,.
06013313204,1073500,389144400
06013313205,214900,111498500
06013313206,979000,293394600
06013314102,762400,.
06013314103,1241000,.
06013314104,1622400,207977000
06013314200,914900,.
06013315000,402100,.
06013316000,372800,21300000
06013317000,875800,151971800
06013318000,886700,414994700
06013319000,1650400,810683900
06013320001,586100,334842900
06013320003,298200,441658300
06013320004,1481000,766469900
06013321101,1895600,796276000
06013321102,995500,1275344300
06013321103,445300,919542600
06013321200,2257300,.
06013322000,1450900,1169945700
06013323000,742600,747613900
06013324001,4083600,302330000
06013324002,2926100,510826800
06013325000,1268800,965094400
06013326000,403200,943969600
06013327000,1328300,.
06013328000,1775800,.
06013329000,1008400,.
06013330000,961800,560396600
06013331000,1521600,726576500
06013332000,1114500,966941800
06013333101,815900,474755000
06013333102,701600,722848500
06013333200,1218800,.
06013334001,895900,412969000
06013334004,2045900,709011400
06013334006,741400,770340500
06013334200,818300,.
06013335000,748100,341500000
06013336101,1845800,61258000
06013336102,3105300,.
06013336201,913400,223457100
06013336202,1807500,62982000
06013337100,452700,826897000
06013337200,2127000,638724100
06013337300,1025000,1302980000
06013338101,1486200,567126500
06013338102,377800,675021000
06013338201,354500,863675000
06013338203,3059800,715394400
06013338204,2674200,851701500
06013338301,346400,.
06013338302,713300,1738236000
06013339001,3260200,.
06013339002,4953200,345239900
06013340001,2203400,842213000
06013340002,1391400,.
06013341000,1234400,1398700000
06013343001,1884000,836935000
06013343002,1096500,1084565000
06013343003,416800,1453071400
06013345101,922300,978521500
06013345102,228000,771098200
06013345103,612200,1240189900
06013345105,890500,1584171300
06013345108,2127800,.
06013345111,1724300,.
06013345112,1979800,.
06013345113,126100,.
06013345114,714500,.
06013345115,1191100,1520872700
06013345116,411900,588685200
06013345202,2728800,1155913500
06013345203,1700900,.
06013345204,170800,1851989300
06013346101,340800,1351012300
06013346102,325200,2887105000
06013346201,521700,.
06013346203,211800,.
06013346204,578100,2868075200
06013347000,404400,.
06013348000,513900,2381734000
06013349000,1604400,1430545000
06013350000,2202800,1600180000
06013351101,74600,875823900
06013351102,253600,826915000
06013351103,73500,774716100
06013351200,183700,2539249100
