tract,agecat,total,total_se2,age_ct,age_ct_se2,age_share,age_share_se2
06001400100,under18,2991,13908.223316488205,402,2248.3162572407864,0.13440320962888666,2.2323462229730914e-4
06001400100,over65,2991,13908.223316488205,760,2607.5147125396106,0.2540956201939151,3.918468173889195e-4
06001400200,under18,1997,3405.733502092553,364,427.1948707051857,0.18227341011517276,1.354925690442579e-4
06001400200,over65,1997,3405.733502092553,389,683.2900656867545,0.19479218828242365,1.3893221535078024e-4
06001400300,under18,5123,35973.06011585258,836,4074.241738343142,0.1631856334179192,1.91737985958073e-4
06001400300,over65,5123,35973.06011585258,697,5682.135235262054,0.13605309389029865,1.9113100597189467e-4
06001400400,under18,3991,23096.60849400874,683,5058.711578791771,0.17113505387121022,2.751289645376452e-4
06001400400,over65,3991,23096.60849400874,498,3196.2010698349054,0.1247807567025808,1.7808682640854824e-4
06001400500,under18,3944,36204.02620079267,601,4230.929130366496,0.15238336713995942,3.2604096939803807e-4
06001400500,over65,3944,36204.02620079267,269,5960.403174397871,0.06820486815415822,3.7235196906364637e-4
06001400600,under18,1635,11577.498360140797,255,999.2516698847941,0.1559633027522936,4.7914751976470884e-4
06001400600,over65,1635,11577.498360140797,177,999.2516698847941,0.10825688073394496,4.245563940804509e-4
06001400700,under18,4837,101081.47559612348,751,36668.175645088275,0.1552615257390945,0.001463098769054195
06001400700,over65,4837,101081.47559612348,596,6054.637337053427,0.12321686996071946,3.243764687564952e-4
06001400800,under18,3796,64568.509160114925,508,18048.983287294097,0.13382507903055849,0.0011723154910371256
06001400800,over65,3796,64568.509160114925,472,1969.3092266331612,0.12434141201264488,2.0594505620144657e-4
06001400900,under18,2394,12784.804279339622,405,3695.457359041398,0.16917293233082706,5.809502340250813e-4
06001400900,over65,2394,12784.804279339622,221,1158.8954277953824,0.0923141186299081,2.2121689049559818e-4
06001401000,under18,6247,82678.09794809732,967,19548.969429328998,0.154794301264607,4.5017021596875217e-4
06001401000,over65,6247,82678.09794809732,506,7139.993163403887,0.08099887946214183,1.6905972195882632e-4
06001401100,under18,4205,41225.04411452223,331,10805.886863572952,0.07871581450653983,5.966765170993643e-4
06001401100,over65,4205,41225.04411452223,280,2797.0916750584342,0.06658739595719382,1.4785097989922157e-4
