tract,baplus,total,baplus_se2,total_se2,baplus_share,baplus_share_se2
06001400100,1961,2412,16615.145831986032,9342.48574939256,0.8130182421227198,0.001794471405351679
06001400200,1281,1568,7541.319832595781,3265.3061224489793,0.8169642857142857,0.0021808761583712523
06001400300,2677,4037,43599.00592197041,29179.700852726783,0.6631161753777558,0.0018879132277962024
06001400400,2528,3156,23513.45608410861,16923.716521465984,0.8010139416983524,0.0012705198552014853
06001400500,1997,2971,23125.433061409265,24981.291747119853,0.6721642544597779,0.0013412234246931926
06001400600,814,1242,5644.072024463928,8764.146672702582,0.6553945249597424,0.006099352097288939
06001400700,1600,3802,19558.577618462507,34602.784527120035,0.4208311415044713,9.2910928712443e-4
06001400800,1478,3022,21033.80419619183,28354.874770188748,0.48908007941760423,0.0015605105157261582
06001400900,811,1801,6298.167977014255,6536.89452240833,0.45030538589672403,0.001533064510319319
06001401000,1415,4501,26339.74187230347,70249.16621243337,0.31437458342590535,9.574470094901209e-4
06001401100,2429,3551,33123.86249203167,28972.38569488456,0.6840326668544072,0.0015518066950759002
06001401200,1377,2083,14600.382479836662,9108.932844301144,0.6610657705232837,0.002447563508520474
06001401300,1480,3593,18067.091028353396,135262.97798431278,0.41191205121068747,0.0031772644266544058
06001401400,849,3003,14730.093033139015,33481.21321865097,0.2827172827172827,0.0013366554710383717
06001401500,738,2158,13330.99287700594,25755.859609574924,0.34198331788693237,0.002215773709090915
06001401600,528,1496,5947.838619377131,15078.944207832521,0.35294117647058826,0.001818348317478532
06001401700,1025,2141,12411.932631812346,18542.326844726118,0.47874824848201775,0.001780594531903345
06001401800,505,1286,6308.145711883666,10430.058850158443,0.3926905132192846,0.0028418074141412864
06001402200,612,1710,6029.138681276041,7556.840753503755,0.35789473684210527,0.0017308550344952006
06001402400,924,2213,13573.414879759055,16608.863554475658,0.4175327609579756,0.0021803404638054006
06001402500,149,995,1324.8214632163413,3695.457359041398,0.14974874371859295,0.001254465282600909
06001402600,300,1041,2420.1550244362115,2669.9679419074105,0.2881844380403458,0.002028653695222141
06001402700,570,1307,4219.473212553468,7556.840753503755,0.4361132364192808,0.0016286862963286915
06001402800,1616,3611,25907.00381555972,29179.700852726783,0.4475214621988369,0.00153865571911644
06001402900,531,1230,3716.5214659879343,2365.0927097864947,0.4317073170731707,0.002165203438128587
06001403000,661,2754,9666.946905516394,19210.465535240808,0.24001452432824982,0.001128653450986519
06001403100,638,1564,4460.417032362967,16142.127290028731,0.4079283887468031,0.002921617520592354
06001403300,1446,3649,30987.888138505736,47362.459696418184,0.3962729514935599,0.0017686893669928364
06001403400,2362,3930,45746.06664757347,32378.11919697712,0.6010178117048346,0.002204634824467123
06001403501,2108,3914,60501.65833648987,29387.755102040814,0.5385794583546244,0.0033929024289492786
06001403502,1103,1822,11997.671861863802,14196.468990493435,0.6053787047200878,0.0020468520428821536
06001403600,2585,4235,44873.56916510379,52802.17292892712,0.6103896103896104,0.001405099430164606
