city	mf_new	mfdense
"Alameda"	5.687614	22
"Albany"	22.18279	20
"American Canyon"	1.996008	20
"Anaheim"	38.90386	36
"Anderson"	11.16124	10
"Antioch"	2.439234	20
"Apple Valley"	0	20
"Arcadia"	38.04506	12
"Arcata"	13.72701	15
"Arroyo Grande"	5.374935	9
"Atascadero"	14.8631	24
"Avalon"	0	40
"Bakersfield"	6.195643	17.42
"Baldwin Park"	0	20.7
"Beaumont"	2.943227	22
"Bell"	7.052186	18.9
"Bellflower"	1.124633	14
"Belmont"	6.527652	36
"Benicia"	0	11
"Beverly Hills"	4.330853	50
"Bishop"	0	20
"Blythe"	0	29
"Brentwood"	0	30
"Brisbane"	0	29
"Buena Park"	3.330085	20
"Calistoga"	12.93661	20
"Camarillo"	39.2439	30
"Carlsbad"	16.65435	30
"Carson"	2.249676	25
"Chico"	29.52767	22
"Chino"	50.05276	12
"Chula Vista"	35.33293	32
"Citrus Heights"	0	30
"Cloverdale"	0	20
"Coachella"	14.94497	30
"Colma"	0	30
"Colton"	13.51682	22
"Concord"	3.819629	100
"Corona"	27.32437	37
"Costa Mesa"	14.76006	20
"Covina"	0	20
"Culver City"	7.661083	29
"Cupertino"	10.54381	35
"Cypress"	0	20
"Daly City"	8.46444	50
"Danville"	1.004142	25
"Davis"	6.06904	60
"Del Mar"	0	17.6
"Desert Hot Springs"	0	8
"Dinuba"	7.498296	21.78
"Dixon"	28.26684	29
"Downey"	.1685346	17
"Duarte"	5.927764	28
"El Cajon"	0	20
"El Centro"	5.802708	25
"Elk Grove"	0	30
"El Monte"	6.708177	14
"Paso Robles"	26.25591	20
"Emeryville"	106.6807	100
"Encinitas"	0	11
"Escondido"	12.79997	30
"Eureka"	4.204861	30
"Fairfield"	9.385757	22
"Fillmore"	0	11
"Firebaugh"	0	29
"Fontana"	4.570261	24
"Fountain Valley"	.6263375	30
"Fullerton"	18.3835	15
"Galt"	0	14
"Garden Grove"	6.286541	24
"Gilroy"	67.18729	30
"Glendale"	45.19707	43
"Gonzales"	0	24
"Grass Valley"	10.84828	20
"Grover Beach"	0	20
"Half Moon Bay"	54.15245	29
"Hayward"	7.840622	34.8
"Healdsburg"	12.93283	20
"Hesperia"	3.309888	15
"Imperial"	0	30
"Imperial Beach"	8.702692	21
"Indian Wells"	0	12
"Irvine"	134.4272	31
"Jackson"	0	22
"Kerman"	0	18.9
"La Canada Flintridge"	0	30
"Laguna Beach"	0	22
"Laguna Hills"	26.29903	50
"La Habra"	16.6048	9
"Lakewood"	1.237714	30
"La Mesa"	13.26098	23
"Lancaster"	3.00955	15
"La Palma"	0	25
"La Quinta"	5.619652	16
"Lathrop"	0	30
"Lindsay"	15.03288	14
"Livermore"	8.422992	18
"Livingston"	14.75459	29
"Loma Linda"	16.58203	25
"Lomita"	1.545411	43.6
"Long Beach"	10.81053	44
"Los Angeles"	37.22432	54
"Los Banos"	9.582417	30
"Los Gatos"	3.828777	20
"Mammoth Lakes"	0	12
"Manhattan Beach"	0	40
"Manteca"	6.475286	25
"Marina"	24.44444	15
"Menifee"	2.642968	24
"Merced"	.2186111	36
"Millbrae"	0	3
"Mill Valley"	0	29
"Milpitas"	123.1445	90
"Mission Viejo"	7.450041	14
"Modesto"	1.930706	29
"Monrovia"	0	17
"Montclair"	13.52033	30
"Monterey"	3.758567	30
"Monte Sereno"	0	3
"Moorpark"	0	20
"Moreno Valley"	2.159866	15
"Mount Shasta"	4.749341	20
"Napa"	5.741024	40
"National City"	27.26405	23
"Newark"	32.50335	60
"Norwalk"	.1780437	30
"Oakley"	0	16.7
"Ontario"	36.69203	25
"Pacifica"	0	21
"Pacific Grove"	3.06035	40
"Palm Desert"	10.89742	40
"Palm Springs"	.5173306	15
"Palo Alto"	7.690127	15
"Paramount"	0	22
"Pasadena"	28.31187	32
"Pico Rivera"	0	30
"Pinole"	0	50
