tract,medhhinc,medhhinc_se2
06001400100,208393,793971934.4795411
06001400200,147500,448229387.7551021
06001400300,88173,45008193.19851073
06001400400,102821,67519438.66002715
06001400500,92375,125712488.24382627
06001400600,86458,346254044.21614736
06001400700,55066,75557838.89653641
06001400800,64788,52225882.61379699
06001400900,57011,14347746.60248889
06001401000,60443,33611799.225801684
06001401100,78258,18456033.850389414
06001401200,86824,188949674.89213884
06001401300,43476,23022495.727127425
06001401400,30479,5722129.322530279
06001401500,54464,41616224.535989136
06001401600,45240,35000350.69890337
06001401700,86313,176284136.6949677
06001401800,31042,138380540.09109303
06001402200,47e3,20632028.159385074
06001402400,36867,9954120.8968875
06001402500,19931,14863485.740153916
06001402600,21250,12209607.819587773
06001402700,59688,185804243.86323112
06001402800,37250,56619907.05924743
06001402900,26786,17309646.437117174
06001403000,22711,14830692.62109552
06001403100,72813,312118270.89550173
06001403300,56673,203266122.4489796
06001403400,59730,41647603.40351623
06001403501,41348,41217180.55080792
06001403502,63678,28513652.312894378
06001403600,73513,44951115.01187166
06001403701,69421,15051569.737899687
06001403702,83603,22952545.153869607
06001403800,84815,65074380.31799411
06001403900,85571,52657299.544534884
06001404000,79398,14214504.3005885
06001404101,95288,124678605.70393842
06001404102,81438,59444568.69393298
06001404200,156364,114392452.39788987
06001404300,194500,215099223.399636
06001404400,163464,278250792.2136714
06001404501,185313,32285883.907207068
06001404502,153169,146888505.83420327
06001404600,158867,112514703.67051303
06001404700,159856,68753836.34667087
06001404800,72833,113756164.48480704
06001404900,100625,119015499.11770956
06001405000,128125,51263858.98134717
06001405100,191705,392521606.7848597
06001405200,77688,17264151.29202428
06001405301,62500,11564134.10814756
06001405302,41111,31020498.332424868
06001405401,46790,9615654.326918636
06001405402,41521,29324364.704686765
06001405500,56005,9461701.203795236
06001405600,58138,10353137.535684261
06001405700,50344,25048655.869772084
06001405800,38794,30925768.978483204
06001405901,36214,30507994.567677677
06001405902,36e3,32660009.05387053
06001406000,35457,98232801.24906458
06001406100,44298,151911244.35287923
06001406201,41563,35825136.87050194
06001406202,34351,17701329.810330648
06001406300,45015,17082769.375744864
06001406400,67102,55518352.1955636
06001406500,40989,11166566.827727016
06001406601,48407,8380057.094816198
06001406602,47182,67040755.72102992
06001406700,93133,84550540.36825234
06001406800,91050,105433571.75192393
06001406900,75721,86461734.83245718
06001407000,52087,13940803.946748458
06001407101,52068,36939793.23916077
06001407102,52383,21316885.4685378
06001407200,38660,2905522.3067044835
06001407300,54150,70355892.49914542
06001407400,49722,31893312.146044478
06001407500,31516,6145576.629927662
06001407600,58619,56986437.30194659
06001407700,74402,10896019.068559973
06001407800,89583,127573248.58417791
06001407900,115563,163140444.37874743
06001408000,151667,99623455.43740356
06001408100,121484,154665889.63516596
06001408200,58207,17233854.454411913
06001408300,83917,59229164.54947756
06001408400,36133,25396698.108849697
06001408500,47333,31095030.164170697
06001408600,32185,8934466.237377701
06001408700,47228,77782749.23550227
06001408800,26156,15656574.1262553
06001408900,31318,13365802.607145166
06001409000,44474,19666124.666254006
06001409100,48065,119613115.54771298
06001409200,49783,27592827.486811835
06001409300,37490,16683127.835108692
06001409400,42344,55608979.59183673
06001409500,33963,15719176.282554667
06001409600,44542,39747467.595458284
06001409700,45163,33015328.38757957
06001409800,73125,143693779.9909461
06001409900,105833,97535135.85425116
06001410000,111688,29015741.170166574
06001410100,60089,17849982.90850971
06001410200,56534,101072770.57676849
06001410300,51034,14802613.057898577
06001410400,69258,10451168.780776232
06001410500,25536,30454295.13770198
06001420100,124811,30709788.712225493
06001420200,91029,65201943.44102512
06001420300,87237,23086710.581018284
06001420400,43272,10767972.94925213
06001420500,90645,56154296.061566316
06001420600,145556,247531401.59458986
06001421100,178438,98751640.87545386
06001421200,157045,276853185.3918571
06001421300,135724,187631706.65459487
06001421400,146774,109504456.16725641
06001421500,155197,108261178.66612466
06001421600,126806,156911793.49784276
06001421700,76014,43287600.44715034
06001421800,126146,118366463.35492097
06001421900,99010,137053635.4985634
06001422000,77411,138623783.59401706
06001422100,66481,93707107.6579115
06001422200,90583,66355632.338947356
06001422300,64458,51499163.90277252
06001422400,58421,31061140.972459607
06001422500,63125,27611990.280947145
06001422600,250001,.
06001422700,30078,24763480.012195013
06001422800,16511,4888265.629474969
06001422900,22399,11510448.351364087
06001423000,69125,83959065.04928815
06001423100,67786,19290518.38028104
06001423200,45338,33986419.19420552
06001423300,86738,35912515.220665
06001423400,83636,87209484.02176623
06001423500,49500,59042174.407110065
06001423601,89605,146535072.29238456
06001423602,28056,29423205.254940365
06001423700,91250,154273010.78149682
06001423800,170417,180653209.04278412
06001423901,79438,80814088.5616356
06001423902,99327,309909805.3417836
06001424001,71392,20981411.849484023
06001424002,69135,96361971.52650106
06001425101,72642,54176758.89912325
06001425102,106033,40478988.92286657
06001425103,108446,130514998.56801027
06001425104,65847,45474320.82113062
06001426100,211327,995066889.995473
06001426200,172708,42230245.47075508
06001427100,123375,149805695.06933603
06001427200,66818,67130379.06153859
06001427300,95694,56154296.061566316
06001427600,53873,11341949.908075497
06001427700,87083,78535151.74471779
06001427800,89853,101452041.64780444
06001427900,93071,34770558.291220516
06001428000,68542,32521192.893635496
06001428100,95305,127285032.84337728
06001428200,91045,144540323.5372918
06001428301,120042,50095416.33946472
06001428302,133916,101378578.91187257
06001428400,77266,20450188.375938874
06001428500,77500,54795993.75467706
06001428600,84091,74389314.21550061
06001428700,52188,87892049.77781062
06001430101,125850,71976399.3311222
06001430102,125132,42523084.22871185
06001430200,115963,37384489.79591836
06001430300,113493,114405456.34279062
06001430400,123e3,236262128.02912024
06001430500,70673,133588628.7081605
06001430600,101589,49085143.33755232
06001430700,99212,49837591.67043912
06001430800,81133,194844261.9709722
06001430900,60444,14868173.42781386
06001431000,63405,23710091.3701832
06001431100,69e3,64672884.027309425
06001431200,86381,68160331.4825251
06001432100,109145,128247019.52125351
06001432200,66229,26499024.953575812
06001432300,82571,13669764.32220693
06001432400,65753,25839762.75163755
06001432501,54552,16234286.083831448
06001432502,63295,30333644.36766105
06001432600,56404,5777520.902430687
06001432700,90741,160249434.5026376
06001432800,108971,286710328.2489999
06001433000,79421,62616675.381786935
06001433102,70521,53792638.64894079
06001433103,49779,31817829.10357443
06001433104,48646,24060664.99755176
06001433200,43682,23479768.664369326
06001433300,78704,93189974.22418492
06001433400,102744,246365942.66497907
06001433500,86536,87926247.90975694
06001433600,49720,46953736.19977642
06001433700,72887,41788954.647499554
06001433800,58234,71040816.32653062
06001433900,42363,24842195.101671267
06001434000,45638,21496892.674679652
06001435102,110710,83769786.31017822
06001435103,161058,371540271.80088884
06001435104,57348,86506961.3178001
06001435200,100199,217477325.96705496
06001435300,71004,20214453.30327695
06001435400,55649,15917432.026681203
06001435500,53861,70948618.73042561
06001435601,57800,59538344.61987601
06001435602,62500,118036006.31923209
06001435700,83405,25957321.532506164
06001435800,86402,43970201.310039625
06001435900,94481,28930665.45948393
06001436000,87872,43760838.8688205
06001436100,78870,76863326.83548748
06001436200,50313,17578776.61884129
06001436300,67361,135718958.98966193
06001436401,78168,47195647.12077679
06001436402,126144,28306280.98410029
06001436500,65337,12027614.305115437
06001436601,71250,26031706.654594842
06001436602,48333,30952819.72635138
06001436700,81167,17128025.05520089
06001436800,76791,28241632.65306123
06001436900,63571,9290452.231594313
06001437000,77586,64819628.79130828
06001437101,109435,37764573.86757328
06001437102,72168,60934869.78132131
06001437200,85052,34827935.440359935
06001437300,73625,31886446.35581711
06001437400,78456,40301271.79165012
06001437500,57401,16673197.402093476
06001437600,71458,115722661.83793572
06001437701,58197,30885215.029425077
06001437702,57454,20143453.589674894
06001437800,90505,13972598.553228445
06001437900,75852,12651103.00163524
06001438000,88250,48389149.76764812
06001438100,100833,72772826.93249324
06001438201,65192,52190743.248861335
06001438203,69745,42793071.38699753
06001438204,75761,35317551.02040817
06001438300,74306,36814279.61678106
06001438400,79671,40975563.788213335
06001440100,78292,35716063.598821156
06001440200,62679,9831751.000083148
