cbsa	cbsa_name	medrent	ca	pnewmf
10180	"Abilene, TX"	751	0	
10420	"Akron, OH Metro Area"	702	0	.0745361
10500	"Albany, GA"	715	0	
10580	"Albany-Schenectady-Troy, NY Metro Area"	846	0	1.274899
10740	"Albuquerque, NM Metro Area"	748	0	.3485697
10780	"Alexandria, LA"	661	0	
10900	"Allentown-Bethlehem-Easton, PA-NJ Metro Area"	848	0	.426654
11020	"Altoona, PA"	586	0	
11100	"Amarillo, TX"	682	0	
11180	"Ames, IA"	686	0	
11260	"Anchorage,* AK"	981	0	
11460	"Ann Arbor, MI"	839	0	
11500	"Anniston-Oxford-Jacksonville, AL"	607	0	
11540	"Appleton, WI"	676	0	
11700	"Asheville, NC"	730	0	
12020	"Athens-Clarke County, GA"	749	0	
12060	"Atlanta-Sandy Springs-Roswell, GA Metro Area"	910	0	1.908931
12100	"Atlantic City-Hammonton,* NJ"	993	0	
12220	"Auburn-Opelika,* AL"	696	0	
12260	"Augusta-Richmond County, GA-SC Metro Area"	704	0	.7055442
12420	"Austin-Round Rock, TX Metro Area"	919	0	5.190061
12540	"Bakersfield, CA Metro Area"	821	1	.1770446
12580	"Baltimore-Columbia-Towson, MD Metro Area"	1048	0	.9657444
12620	"Bangor, ME"	662	0	
12700	"Barnstable Town, MA"	1104	0	
12940	"Baton Rouge, LA Metro Area"	756	0	.116177
12980	"Battle Creek, MI"	624	0	
13020	"Bay City, MI"	556	0	
13140	"Beaumont-Port Arthur, TX"	717	0	
13380	"Bellingham, WA"	826	0	
13460	"Bend-Redmond,* OR"	870	0	
13740	"Billings, MT"	671	0	
13780	"Binghamton, NY"	652	0	
13820	"Birmingham-Hoover, AL Metro Area"	749	0	.5652617
13900	"Bismarck, ND"	575	0	
13980	"Blacksburg-Christiansburg-Radford,"	750	0	
14020	"Bloomington, IN"	669	0	
14260	"Boise City, ID Metro Area"	743	0	1.837011
14460	"Boston-Cambridge-Newton, MA-NH Metro Area"	1141	0	1.706368
14500	"Boulder, CO"	996	0	
14540	"Bowling Green, KY"	622	0	
14740	"Bremerton-Silverdale, WA"	936	0	
14860	"Bridgeport-Stamford-Norwalk, CT Metro Area"	1233	0	1.265238
15180	"Brownsville-Harlingen, TX"	632	0	
15260	"Brunswick, GA"	733	0	
15380	"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area"	672	0	.5863679
15500	"Burlington, NC"	663	0	
15540	"Burlington-South Burlington, VT"	904	0	
15940	"Canton-Massillon, OH"	635	0	
15980	"Cape Coral-Fort Myers, FL Metro Area"	873	0	1.685325
16020	"Cape Girardeau, MO-IL"	658	0	
16180	"Carson City,* NV"	851	0	
16220	"Casper, WY"	760	0	
16300	"Cedar Rapids, IA"	659	0	
16580	"Champaign-Urbana, IL"	742	0	
16620	"Charleston, WV"	604	0	
16700	"Charleston-North Charleston, SC Metro Area"	890	0	2.888672
16740	"Charlotte-Concord-Gastonia, NC-SC Metro Area"	787	0	3.765867
16820	"Charlottesville, VA"	1043	0	
16860	"Chattanooga, TN-GA Metro Area"	688	0	1.266023
16940	"Cheyenne, WY"	642	0	
16980	"Chicago-Naperville-Elgin, IL-IN-WI Metro Area"	913	0	1.013024
17020	"Chico, CA"	862	1	
17140	"Cincinnati, OH-KY-IN Metro Area"	710	0	.6975982
17300	"Clarksville, TN-KY"	740	0	
17420	"Cleveland, TN"	701	0	
17460	"Cleveland-Elyria, OH Metro Area"	714	0	.1535889
17660	"Coeur dAlene, ID"	753	0	
17780	"College Station-Bryan, TX"	795	0	
