tract,total,total_se2,race,race_ct,race_ct_se2,race_share,race_share_se2
06001400100,2991,13908.223316488205,white_nh,2070,15988.026718156705,0.6920762286860582,0.0010425136842128848
06001400100,2991,13908.223316488205,black_nh,84,1330.3646492549035,0.028084252758274825,1.4748300203194624e-4
06001400100,2991,13908.223316488205,asian_nh,484,10183.202298574475,0.16181878970244065,0.001097576806051097
06001400100,2991,13908.223316488205,hisp,113,1375.0796832993042,0.03778000668672685,1.514884645174821e-4
06001400200,1997,3405.733502092553,white_nh,1424,6149.610591180792,0.7130696044066099,0.0011077966977673995
06001400200,1997,3405.733502092553,black_nh,18,147.81829436165592,0.009013520280420632,3.699630579793812e-5
06001400200,1997,3405.733502092553,asian_nh,196,1609.7412255984327,0.09814722083124687,3.9541892052520215e-4
06001400200,1997,3405.733502092553,hisp,177,2365.0927097864947,0.0886329494241362,5.863421946846225e-4
06001400300,5123,35973.06011585258,white_nh,3431,42218.38305263255,0.6697247706422018,9.938354949681162e-4
06001400300,5123,35973.06011585258,black_nh,482,8314.779057843145,0.09408549677923092,3.046791130849756e-4
06001400300,5123,35973.06011585258,asian_nh,500,10060.882659990206,0.09759906304899472,3.702865587760851e-4
06001400300,5123,35973.06011585258,hisp,385,11060.134329875002,0.07515127854772594,4.136755719748588e-4
06001400400,3991,23096.60849400874,white_nh,2625,25173.82507552591,0.6577298922575796,9.531614858195912e-4
06001400400,3991,23096.60849400874,black_nh,238,7243.09642372114,0.059634176898020544,4.495808035480986e-4
06001400400,3991,23096.60849400874,asian_nh,484,6635.563233894734,0.12127286394387371,3.9526914317014616e-4
06001400400,3991,23096.60849400874,hisp,377,15078.944207832521,0.09446254071661238,9.337502243298442e-4
06001400500,3944,36204.02620079267,white_nh,2105,33481.21321865097,0.5337221095334685,0.0014894218869275825
06001400500,3944,36204.02620079267,black_nh,951,21642.076477490045,0.24112576064908722,0.0012559912875698444
06001400500,3944,36204.02620079267,asian_nh,220,4718.729501759961,0.055780933062880324,2.961131437183231e-4
06001400500,3944,36204.02620079267,hisp,407,12375.717149693739,0.1031947261663286,7.708177536642698e-4
06001400600,1635,11577.498360140797,white_nh,729,4972.607422326105,0.44587155963302755,0.0027211442571971793
06001400600,1635,11577.498360140797,black_nh,402,7451.5202187710765,0.24587155963302754,0.0025256488884921905
06001400600,1635,11577.498360140797,asian_nh,158,2545.800574643619,0.09663608562691131,9.11888720038767e-4
06001400600,1635,11577.498360140797,hisp,140,1513.6593342633566,0.0856269113149847,5.344755819079346e-4
06001400700,4837,101081.47559612348,white_nh,1816,43730.564203952286,0.3754393218937358,0.0012601273592801406
06001400700,4837,101081.47559612348,black_nh,1679,29596.54844282666,0.3471159809799462,0.0017855526306626796
06001400700,4837,101081.47559612348,asian_nh,200,2733.160262747018,0.04134794293983874,1.2420515369647792e-4
06001400700,4837,101081.47559612348,hisp,857,63645.01436609049,0.177175935497209,0.002584649664494484
06001400800,3796,64568.509160114925,white_nh,1457,12106.687853955524,0.38382507903055846,0.0015003196356987746
06001400800,3796,64568.509160114925,black_nh,1217,64877.81894106669,0.3206006322444679,0.004041825949775739
06001400800,3796,64568.509160114925,asian_nh,501,6536.89452240833,0.13198103266596417,5.317013951258814e-4
06001400800,3796,64568.509160114925,hisp,421,13765.209116693304,0.11090621707060064,9.001630752373913e-4
06001400900,2394,12784.804279339622,white_nh,1019,11708.687096386766,0.42564745196324144,0.0016388071525027866
06001400900,2394,12784.804279339622,black_nh,775,15379.015345386684,0.3237259816207185,0.0024495914827502357
06001400900,2394,12784.804279339622,asian_nh,147,1466.7270258035312,0.06140350877192982,2.4750739914123433e-4
06001400900,2394,12784.804279339622,hisp,289,8314.779057843145,0.12071846282372597,0.0014182746582530378
06001401000,6247,82678.09794809732,white_nh,1829,37841.483356583914,0.29278053465663517,7.880659374161031e-4
06001401000,6247,82678.09794809732,black_nh,2286,99925.16698847941,0.36593564911157356,0.0022768433928304875
06001401000,6247,82678.09794809732,asian_nh,186,2927.1717740966915,0.029774291659996798,7.312943712950508e-5
06001401000,6247,82678.09794809732,hisp,1237,80593.85999759795,0.19801504722266688,0.001982114986134252
06001401100,4205,41225.04411452223,white_nh,2123,19548.969429328998,0.5048751486325802,0.0016998725244469722
06001401100,4205,41225.04411452223,black_nh,644,22728.540941048217,0.15315101070154577,0.0012307186515050739
06001401100,4205,41225.04411452223,asian_nh,688,21285.834388078456,0.16361474435196194,0.0011413991801431354
06001401100,4205,41225.04411452223,hisp,436,4310.381463585887,0.10368608799048752,2.187067974214508e-4
06001401200,2601,12511.340434770558,white_nh,1332,16142.127290028731,0.5121107266435986,0.0019010426627145995
06001401200,2601,12511.340434770558,black_nh,430,10183.202298574475,0.1653210303729335,0.0014546876455139425
06001401200,2601,12511.340434770558,asian_nh,227,3549.1172476233587,0.08727412533640908,5.105275080801117e-4
06001401200,2601,12511.340434770558,hisp,486,13200.54323223178,0.18685121107266436,0.0018866741891168577
06001401300,4054,155653.0335085596,white_nh,1400,21285.834388078456,0.3453379378391712,0.0024246396636091634
06001401300,4054,155653.0335085596,black_nh,1319,68329.00656867547,0.32535767143561917,0.003154987088053849
